"date","accession","time","temp","pop","hour","minute","day"
"July 19 2018",16118001,08:50:00,24.78,"pop1",8,50,"July 19 2018"
"July 19 2018",16118002,08:50:00,26.61,"pop1",8,50,"July 19 2018"
"July 19 2018",16118005,08:52:00,25.89,"pop1",8,52,"July 19 2018"
"July 19 2018",16118006,08:53:00,29.67,"pop1",8,53,"July 19 2018"
"July 19 2018",16118007,08:53:00,27.33,"pop1",8,53,"July 19 2018"
"July 19 2018",16118008,08:53:00,26.11,"pop1",8,53,"July 19 2018"
"July 19 2018",16118009,08:54:00,30.28,"pop1",8,54,"July 19 2018"
"July 19 2018",16118010,08:54:00,27.06,"pop1",8,54,"July 19 2018"
"July 19 2018",16118011,08:55:00,24.56,"pop1",8,55,"July 19 2018"
"July 19 2018",16118012,08:55:00,26.5,"pop1",8,55,"July 19 2018"
"July 19 2018",16118013,08:55:00,28.28,"pop1",8,55,"July 19 2018"
"July 19 2018",16118014,08:55:00,29.72,"pop1",8,55,"July 19 2018"
"July 19 2018",16118016,08:56:00,29.67,"pop1",8,56,"July 19 2018"
"July 19 2018",16118017,08:56:00,28.33,"pop1",8,56,"July 19 2018"
"July 19 2018",16118019,08:57:00,26.11,"pop1",8,57,"July 19 2018"
"July 19 2018",16118020,08:57:00,26.83,"pop1",8,57,"July 19 2018"
"July 19 2018",16118022,08:58:00,27.06,"pop1",8,58,"July 19 2018"
"July 19 2018",16118023,08:58:00,26.78,"pop1",8,58,"July 19 2018"
"July 19 2018",16118024,08:59:00,27.94,"pop1",8,59,"July 19 2018"
"July 19 2018",16118025,08:59:00,29.11,"pop1",8,59,"July 19 2018"
"July 19 2018",16118026,09:00:00,29.61,"pop1",9,0,"July 19 2018"
"July 19 2018",16118027,09:00:00,28.67,"pop1",9,0,"July 19 2018"
"July 19 2018",16118028,09:01:00,27.5,"pop1",9,1,"July 19 2018"
"July 19 2018",16118029,09:01:00,30.28,"pop1",9,1,"July 19 2018"
"July 19 2018",16118032,09:03:00,27.72,"pop1",9,3,"July 19 2018"
"July 19 2018",16118033,09:03:00,28.28,"pop1",9,3,"July 19 2018"
"July 19 2018",16118035,09:03:00,27.61,"pop1",9,3,"July 19 2018"
"July 19 2018",16118036,09:04:00,23.94,"pop1",9,4,"July 19 2018"
"July 19 2018",16118037,09:04:00,28.33,"pop1",9,4,"July 19 2018"
"July 19 2018",16118046,09:09:00,26.06,"pop1",9,9,"July 19 2018"
"July 19 2018",16118063,09:16:00,28.72,"pop1",9,16,"July 19 2018"
"July 19 2018",16118064,09:16:00,29.61,"pop1",9,16,"July 19 2018"
"July 19 2018",16118065,09:16:00,29.83,"pop1",9,16,"July 19 2018"
"July 19 2018",16118067,09:17:00,23.78,"pop1",9,17,"July 19 2018"
"July 19 2018",16118068,09:18:00,25.11,"pop1",9,18,"July 19 2018"
"July 19 2018",16118069,09:18:00,24.5,"pop1",9,18,"July 19 2018"
