date,time,rain_in,temp_f
July 19 2018,2300,0,74.8
July 19 2018,2200,0,76.2
July 19 2018,2100,0,81.6
July 19 2018,2000,0,88.9
July 19 2018,1900,0,95.3
July 19 2018,1800,0,98.4
July 19 2018,1700,0,99.2
July 19 2018,1600,0,98.8
July 19 2018,1500,0,97.6
July 19 2018,1400,0,96.8
July 19 2018,1300,0,95.4
July 19 2018,1200,0,92
July 19 2018,1100,0,87.2
July 19 2018,1000,0,82.2
July 19 2018,900,0,76.1
July 19 2018,800,0,70.2
July 19 2018,700,0,62.9
July 19 2018,600,0,62.5
July 19 2018,500,0,63.3
July 19 2018,400,0,64.1
July 19 2018,300,0,65.6
July 19 2018,200,0,66.8
July 19 2018,100,0,68.6
July 19 2018,0,0,72.2
August 10 2018,2300,0,74.1
August 10 2018,2200,0,74.3
August 10 2018,2100,0,79.3
August 10 2018,2000,0,88.9
August 10 2018,1900,0,95
August 10 2018,1800,0,98.6
August 10 2018,1700,0,100.6
August 10 2018,1600,0,100.4
August 10 2018,1500,0,99.2
August 10 2018,1400,0,97.9
August 10 2018,1300,0,95.4
August 10 2018,1200,0,92.6
August 10 2018,1100,0,90.2
August 10 2018,1000,0,82.5
August 10 2018,900,0,74.5
August 10 2018,800,0,63.7
August 10 2018,700,0,59.6
August 10 2018,600,0,62.4
August 10 2018,500,0,62.7
August 10 2018,400,0,64.1
August 10 2018,300,0,65
August 10 2018,200,0,67.7
August 10 2018,100,0,70.4
August 10 2018,0,0,69.5
July 24 2019,2300,0,76.4
July 24 2019,2200,0,78.3
July 24 2019,2100,0,82.6
July 24 2019,2000,0,90.2
July 24 2019,1900,0,97.8
July 24 2019,1800,0,101.5
July 24 2019,1700,0,102.4
July 24 2019,1600,0,100.4
July 24 2019,1500,0,99.6
July 24 2019,1400,0,97.9
July 24 2019,1300,0,95.2
July 24 2019,1200,0,91.5
July 24 2019,1100,0,88.4
July 24 2019,1000,0,84.6
July 24 2019,900,0,79
July 24 2019,800,0,71.2
July 24 2019,700,0,64.7
July 24 2019,600,0,64.4
July 24 2019,500,0,65.2
July 24 2019,400,0,67
July 24 2019,300,0,69.7
July 24 2019,200,0,68.6
July 24 2019,100,0,71.6
July 24 2019,0,0,75.4
August 1 2019,2300,0,71.3
August 1 2019,2200,0,75.7
August 1 2019,2100,0,78.8
August 1 2019,2000,0,85.1
August 1 2019,1900,0,90.5
August 1 2019,1800,0,92.7
August 1 2019,1700,0,93.6
August 1 2019,1600,0,94.1
August 1 2019,1500,0,93.3
August 1 2019,1400,0,91.3
August 1 2019,1300,0,89.1
August 1 2019,1200,0,87.8
August 1 2019,1100,0,84.9
August 1 2019,1000,0,79.5
August 1 2019,900,0,73.2
August 1 2019,800,0,64.6
August 1 2019,700,0,57.9
August 1 2019,600,0,57.4
August 1 2019,500,0,58.5
August 1 2019,400,0,59
August 1 2019,300,0,60
August 1 2019,200,0,61.8
August 1 2019,100,0,63.5
August 1 2019,0,0,67.5
